,Accuracy,Optimiser,Hidden_Layer,Hidden_Layer1,Hidden_Layer2,Batch,F1_score,F1_score_,FN,FN_,FP,FP_,N_ReCall,N_ReCall_,P_ReCall,P_ReCall_,TN,TN_,TP,TP_
0,34.15710628032684,adam,10,5,3,10,0.55,0.37,163.0,12.0,45.0,734.0,0.9601769911504425,0.18984547461368653,0.4379310344827586,0.947136563876652,1085.0,172.0,127.0,215.0
1,45.98411321640015,sgd,10,5,3,10,0.46,0.4,191.0,25.0,38.0,587.0,0.9663716814159292,0.35209713024282563,0.3413793103448276,0.8898678414096917,1092.0,319.0,99.0,202.0
2,56.92850947380066,adam,10,5,5,10,0.49,0.45,177.0,30.0,59.0,458.0,0.947787610619469,0.49448123620309054,0.3896551724137931,0.8678414096916299,1071.0,448.0,113.0,197.0
3,74.75728392601013,sgd,10,5,5,10,0.42,0.55,201.0,53.0,42.0,233.0,0.9628318584070796,0.7428256070640177,0.30689655172413793,0.7665198237885462,1088.0,673.0,89.0,174.0
4,62.84201145172119,adam,10,5,7,10,0.44,0.47,197.0,37.0,43.0,384.0,0.9619469026548673,0.5761589403973509,0.32068965517241377,0.8370044052863436,1087.0,522.0,93.0,190.0
5,74.75728392601013,sgd,10,5,7,10,0.42,0.54,207.0,62.0,23.0,224.0,0.9796460176991151,0.7527593818984547,0.28620689655172415,0.7268722466960352,1107.0,682.0,83.0,165.0
6,37.77581751346588,adam,10,5,9,10,0.56,0.37,155.0,20.0,59.0,685.0,0.947787610619469,0.24392935982339956,0.46551724137931033,0.9118942731277533,1071.0,221.0,135.0,207.0
7,48.01412224769592,sgd,10,5,9,10,0.54,0.42,158.0,18.0,68.0,571.0,0.9398230088495575,0.369757174392936,0.45517241379310347,0.920704845814978,1062.0,335.0,132.0,209.0
8,56.22242093086243,adam,10,5,11,10,0.53,0.42,160.0,47.0,67.0,449.0,0.9407079646017699,0.5044150110375276,0.4482758620689655,0.7929515418502202,1063.0,457.0,130.0,180.0
9,64.25419449806213,sgd,10,5,11,10,0.43,0.49,194.0,35.0,60.0,370.0,0.9469026548672567,0.5916114790286976,0.3310344827586207,0.8458149779735683,1070.0,536.0,96.0,192.0
10,49.77934658527374,adam,10,5,13,10,0.5,0.42,180.0,24.0,39.0,545.0,0.9654867256637168,0.3984547461368653,0.3793103448275862,0.8942731277533039,1091.0,361.0,110.0,203.0
11,52.162402868270874,sgd,10,5,13,10,0.47,0.42,186.0,30.0,51.0,512.0,0.9548672566371681,0.434878587196468,0.3586206896551724,0.8678414096916299,1079.0,394.0,104.0,197.0
12,46.51367962360382,adam,10,5,15,10,0.56,0.41,161.0,16.0,44.0,590.0,0.9610619469026549,0.3487858719646799,0.44482758620689655,0.9295154185022027,1086.0,316.0,129.0,211.0
13,65.04854559898376,sgd,10,5,15,10,0.4,0.47,213.0,48.0,22.0,348.0,0.9805309734513274,0.6158940397350994,0.2655172413793103,0.788546255506608,1108.0,558.0,77.0,179.0
14,38.128861784935,adam,10,5,17,10,0.54,0.37,156.0,17.0,69.0,684.0,0.9389380530973451,0.24503311258278146,0.46206896551724136,0.9251101321585903,1061.0,222.0,134.0,210.0
15,69.19682025909424,sgd,10,5,17,10,0.43,0.5,202.0,51.0,33.0,298.0,0.9707964601769912,0.6710816777041942,0.30344827586206896,0.775330396475771,1097.0,608.0,88.0,176.0
16,60.98852753639221,adam,10,5,19,10,0.51,0.43,181.0,60.0,25.0,382.0,0.9778761061946902,0.5783664459161147,0.3758620689655172,0.73568281938326,1105.0,524.0,109.0,167.0
17,70.07943391799927,sgd,10,5,19,10,0.44,0.51,201.0,54.0,21.0,285.0,0.9814159292035398,0.6854304635761589,0.30689655172413793,0.762114537444934,1109.0,621.0,89.0,173.0
