,CV,Model,CVS_Accuracy,CVS_STD,Accuracy_Score,C_M_Accuracy,True_Neg,False_Neg,False_Pos,True_Pos
17,5,RandomForestClassifier,0.913,0.009,0.904,0.9,1107,58,80,186
85,9,RandomForestClassifier,0.912,0.013,0.913,0.91,1108,41,84,198
51,7,RandomForestClassifier,0.911,0.005,0.903,0.9,1097,37,102,195
68,8,RandomForestClassifier,0.91,0.01,0.901,0.9,1095,46,95,195
102,10,RandomForestClassifier,0.91,0.011,0.901,0.9,1093,53,88,197
34,6,RandomForestClassifier,0.91,0.01,0.912,0.91,1125,34,92,180
0,4,RandomForestClassifier,0.908,0.008,0.914,0.91,1106,50,73,202
116,10,GradientBoostingClassifier,0.907,0.01,0.899,0.9,1094,52,93,192
97,9,ExtraTreesClassifier,0.907,0.008,0.904,0.9,1101,48,90,192
82,8,GradientBoostingClassifier,0.906,0.006,0.892,0.89,1088,53,101,189
46,6,ExtraTreesClassifier,0.905,0.009,0.906,0.91,1114,45,90,182
114,10,ExtraTreesClassifier,0.905,0.008,0.891,0.89,1093,53,103,182
29,5,ExtraTreesClassifier,0.905,0.003,0.896,0.9,1099,66,83,183
63,7,ExtraTreesClassifier,0.904,0.005,0.906,0.91,1094,40,95,202
99,9,GradientBoostingClassifier,0.904,0.011,0.913,0.91,1112,37,87,195
80,8,ExtraTreesClassifier,0.903,0.005,0.897,0.9,1087,54,93,197
79,8,BaggingClassifier,0.903,0.014,0.897,0.9,1098,43,105,185
31,5,GradientBoostingClassifier,0.903,0.008,0.9,0.9,1110,55,88,178
65,7,GradientBoostingClassifier,0.903,0.007,0.894,0.89,1094,40,111,186
48,6,GradientBoostingClassifier,0.902,0.011,0.906,0.91,1125,34,100,172
12,4,ExtraTreesClassifier,0.901,0.004,0.901,0.9,1092,64,77,198
45,6,BaggingClassifier,0.901,0.007,0.898,0.9,1121,38,108,164
14,4,GradientBoostingClassifier,0.901,0.006,0.903,0.9,1099,57,82,193
96,9,BaggingClassifier,0.9,0.017,0.903,0.9,1112,37,102,180
113,10,BaggingClassifier,0.9,0.013,0.893,0.89,1098,48,105,180
62,7,BaggingClassifier,0.899,0.01,0.89,0.89,1091,43,115,182
11,4,BaggingClassifier,0.897,0.004,0.901,0.9,1104,52,89,186
27,5,AdaBoostClassifier,0.897,0.009,0.894,0.89,1111,54,98,168
28,5,BaggingClassifier,0.897,0.01,0.889,0.89,1099,66,93,173
61,7,AdaBoostClassifier,0.896,0.01,0.889,0.89,1087,47,112,185
112,10,AdaBoostClassifier,0.896,0.009,0.892,0.89,1095,51,103,182
95,9,AdaBoostClassifier,0.896,0.013,0.905,0.9,1107,42,94,188
10,4,AdaBoostClassifier,0.895,0.004,0.894,0.89,1100,56,95,180
44,6,AdaBoostClassifier,0.894,0.005,0.897,0.9,1114,45,103,169
78,8,AdaBoostClassifier,0.894,0.006,0.89,0.89,1093,48,109,181
74,8,DecisionTreeClassifier,0.884,0.01,0.869,0.87,1064,77,111,179
40,6,DecisionTreeClassifier,0.883,0.015,0.885,0.89,1092,67,97,175
91,9,DecisionTreeClassifier,0.881,0.01,0.88,0.88,1074,75,97,185
108,10,DecisionTreeClassifier,0.88,0.01,0.887,0.89,1077,69,93,192
57,7,DecisionTreeClassifier,0.878,0.009,0.878,0.88,1061,73,102,195
75,8,ExtraTreeClassifier,0.878,0.008,0.866,0.87,1055,86,106,184
6,4,DecisionTreeClassifier,0.878,0.006,0.871,0.87,1057,99,85,190
23,5,DecisionTreeClassifier,0.876,0.009,0.871,0.87,1083,82,102,164
109,10,ExtraTreeClassifier,0.874,0.016,0.853,0.85,1062,84,126,159
92,9,ExtraTreeClassifier,0.874,0.023,0.866,0.87,1075,74,118,164
7,4,ExtraTreeClassifier,0.873,0.005,0.856,0.86,1059,97,109,166
41,6,ExtraTreeClassifier,0.866,0.009,0.876,0.88,1082,77,100,172
24,5,ExtraTreeClassifier,0.865,0.007,0.864,0.86,1076,89,105,161
58,7,ExtraTreeClassifier,0.863,0.01,0.874,0.87,1063,71,110,187
36,6,RidgeClassifier,0.86,0.011,0.858,0.86,1056,103,100,172
87,9,RidgeClassifier,0.86,0.016,0.86,0.86,1043,106,94,188
53,7,RidgeClassifier,0.86,0.016,0.858,0.86,1033,101,102,195
104,10,RidgeClassifier,0.86,0.014,0.865,0.87,1045,101,92,193
19,5,RidgeClassifier,0.86,0.009,0.858,0.86,1049,116,87,179
70,8,RidgeClassifier,0.86,0.01,0.848,0.85,1029,112,106,184
2,4,RidgeClassifier,0.859,0.009,0.857,0.86,1041,115,89,186
26,5,GaussianNB,0.859,0.007,0.856,0.86,1054,111,95,171
32,5,LinearDiscriminantAnalysis,0.858,0.008,0.855,0.85,1042,123,85,181
9,4,GaussianNB,0.858,0.005,0.854,0.85,1047,109,100,175
94,9,GaussianNB,0.857,0.017,0.85,0.85,1041,108,107,175
100,9,LinearDiscriminantAnalysis,0.857,0.016,0.856,0.86,1036,113,93,189
66,7,LinearDiscriminantAnalysis,0.857,0.014,0.855,0.85,1026,108,100,197
15,4,LinearDiscriminantAnalysis,0.857,0.008,0.857,0.86,1037,119,85,190
117,10,LinearDiscriminantAnalysis,0.857,0.014,0.861,0.86,1033,113,86,199
83,8,LinearDiscriminantAnalysis,0.857,0.01,0.845,0.84,1024,117,105,185
49,6,LinearDiscriminantAnalysis,0.857,0.011,0.857,0.86,1052,107,98,174
111,10,GaussianNB,0.856,0.012,0.861,0.86,1047,99,100,185
60,7,GaussianNB,0.855,0.015,0.855,0.85,1039,95,113,184
77,8,GaussianNB,0.855,0.008,0.847,0.85,1038,103,116,174
43,6,GaussianNB,0.853,0.007,0.853,0.85,1060,99,111,161
1,4,LogisticRegression,0.85,0.002,0.846,0.85,1070,86,135,140
69,8,LogisticRegression,0.849,0.007,0.843,0.84,1061,80,144,146
35,6,LogisticRegression,0.849,0.009,0.857,0.86,1088,71,133,139
