,CV,Model,CVS_Accuracy,CVS_STD,Accuracy_Score,C_M_Accuracy,True_Neg,False_Neg,False_Pos,True_Pos
85,9,RandomForestClassifier,0.914,0.015,0.913,0.91,1111,38,87,195
51,7,RandomForestClassifier,0.914,0.005,0.896,0.9,1092,42,107,190
102,10,RandomForestClassifier,0.913,0.012,0.898,0.9,1092,54,92,193
68,8,RandomForestClassifier,0.912,0.007,0.901,0.9,1090,51,91,199
34,6,RandomForestClassifier,0.911,0.008,0.904,0.9,1121,38,99,173
0,4,RandomForestClassifier,0.91,0.005,0.92,0.92,1116,40,75,200
17,5,RandomForestClassifier,0.909,0.011,0.909,0.91,1114,51,79,187
97,9,ExtraTreesClassifier,0.909,0.009,0.908,0.91,1103,46,85,197
114,10,ExtraTreesClassifier,0.908,0.008,0.891,0.89,1094,52,104,181
46,6,ExtraTreesClassifier,0.907,0.005,0.904,0.9,1114,45,92,180
82,8,GradientBoostingClassifier,0.906,0.007,0.893,0.89,1090,51,102,188
29,5,ExtraTreesClassifier,0.906,0.006,0.894,0.89,1096,69,83,183
116,10,GradientBoostingClassifier,0.906,0.01,0.9,0.9,1096,50,93,192
63,7,ExtraTreesClassifier,0.905,0.005,0.9,0.9,1090,44,99,198
99,9,GradientBoostingClassifier,0.904,0.011,0.913,0.91,1111,38,87,195
79,8,BaggingClassifier,0.904,0.01,0.889,0.89,1095,46,113,177
80,8,ExtraTreesClassifier,0.904,0.008,0.896,0.9,1087,54,95,195
12,4,ExtraTreesClassifier,0.903,0.005,0.903,0.9,1094,62,77,198
31,5,GradientBoostingClassifier,0.903,0.007,0.898,0.9,1108,57,89,177
65,7,GradientBoostingClassifier,0.903,0.007,0.894,0.89,1093,41,111,186
48,6,GradientBoostingClassifier,0.903,0.011,0.906,0.91,1125,34,100,172
14,4,GradientBoostingClassifier,0.902,0.006,0.903,0.9,1097,59,80,195
96,9,BaggingClassifier,0.9,0.013,0.905,0.9,1112,37,99,183
62,7,BaggingClassifier,0.9,0.01,0.885,0.88,1087,47,118,179
113,10,BaggingClassifier,0.9,0.012,0.894,0.89,1096,50,101,184
45,6,BaggingClassifier,0.899,0.008,0.89,0.89,1120,39,119,153
11,4,BaggingClassifier,0.898,0.005,0.892,0.89,1104,52,102,173
27,5,AdaBoostClassifier,0.897,0.009,0.894,0.89,1111,54,98,168
28,5,BaggingClassifier,0.896,0.01,0.89,0.89,1104,61,96,170
61,7,AdaBoostClassifier,0.896,0.01,0.889,0.89,1087,47,112,185
95,9,AdaBoostClassifier,0.896,0.013,0.905,0.9,1107,42,94,188
112,10,AdaBoostClassifier,0.896,0.009,0.892,0.89,1095,51,103,182
10,4,AdaBoostClassifier,0.895,0.004,0.894,0.89,1100,56,95,180
44,6,AdaBoostClassifier,0.894,0.005,0.897,0.9,1114,45,103,169
78,8,AdaBoostClassifier,0.894,0.006,0.89,0.89,1093,48,109,181
40,6,DecisionTreeClassifier,0.888,0.013,0.879,0.88,1086,73,100,172
74,8,DecisionTreeClassifier,0.884,0.014,0.86,0.86,1049,92,108,182
91,9,DecisionTreeClassifier,0.883,0.011,0.872,0.87,1063,86,97,185
57,7,DecisionTreeClassifier,0.881,0.006,0.876,0.88,1057,77,101,196
6,4,DecisionTreeClassifier,0.879,0.002,0.869,0.87,1062,94,94,181
108,10,DecisionTreeClassifier,0.878,0.012,0.883,0.88,1077,69,98,187
23,5,DecisionTreeClassifier,0.876,0.009,0.873,0.87,1085,80,102,164
24,5,ExtraTreeClassifier,0.875,0.011,0.87,0.87,1074,91,95,171
75,8,ExtraTreeClassifier,0.874,0.005,0.873,0.87,1063,78,104,186
92,9,ExtraTreeClassifier,0.873,0.009,0.867,0.87,1064,85,105,177
109,10,ExtraTreeClassifier,0.873,0.012,0.874,0.87,1073,73,108,177
7,4,ExtraTreeClassifier,0.868,0.005,0.862,0.86,1078,78,120,155
41,6,ExtraTreeClassifier,0.868,0.006,0.851,0.85,1061,98,115,157
58,7,ExtraTreeClassifier,0.863,0.011,0.881,0.88,1079,55,116,181
110,10,SVC,0.862,0.016,0.854,0.85,1060,86,123,162
59,7,SVC,0.861,0.015,0.862,0.86,1056,78,119,178
8,4,SVC,0.861,0.01,0.853,0.85,1055,101,110,165
25,5,SVC,0.86,0.01,0.856,0.86,1064,101,105,161
53,7,RidgeClassifier,0.86,0.015,0.858,0.86,1033,101,102,195
54,7,SGDClassifier,0.86,0.013,0.856,0.86,1030,104,102,195
104,10,RidgeClassifier,0.86,0.015,0.865,0.87,1045,101,92,193
19,5,RidgeClassifier,0.86,0.009,0.858,0.86,1049,116,87,179
93,9,SVC,0.86,0.016,0.859,0.86,1062,87,115,167
87,9,RidgeClassifier,0.86,0.016,0.86,0.86,1043,106,94,188
42,6,SVC,0.86,0.011,0.862,0.86,1076,83,114,158
2,4,RidgeClassifier,0.859,0.009,0.857,0.86,1041,115,89,186
20,5,SGDClassifier,0.859,0.009,0.855,0.86,1061,104,103,163
88,9,SGDClassifier,0.859,0.014,0.86,0.86,1043,106,94,188
36,6,RidgeClassifier,0.859,0.011,0.858,0.86,1056,103,100,172
70,8,RidgeClassifier,0.859,0.009,0.848,0.85,1029,112,106,184
105,10,SGDClassifier,0.859,0.012,0.864,0.86,1042,104,90,195
86,9,LogisticRegression,0.858,0.017,0.857,0.86,1064,85,120,162
3,4,SGDClassifier,0.858,0.009,0.857,0.86,1036,120,85,190
115,10,GaussianProcessClassifier,0.858,0.017,0.858,0.86,1074,72,131,154
32,5,LinearDiscriminantAnalysis,0.858,0.008,0.855,0.85,1042,123,85,181
76,8,SVC,0.858,0.01,0.836,0.84,1039,102,132,158
103,10,LogisticRegression,0.858,0.013,0.863,0.86,1058,88,108,177
71,8,SGDClassifier,0.858,0.008,0.843,0.84,1038,103,122,168
64,7,GaussianProcessClassifier,0.858,0.017,0.85,0.85,1062,72,143,154
69,8,LogisticRegression,0.858,0.012,0.845,0.84,1040,101,121,169
37,6,SGDClassifier,0.858,0.011,0.859,0.86,1056,103,99,173
52,7,LogisticRegression,0.858,0.015,0.851,0.85,1048,86,127,170
117,10,LinearDiscriminantAnalysis,0.857,0.014,0.861,0.86,1033,113,86,199
83,8,LinearDiscriminantAnalysis,0.857,0.01,0.845,0.84,1024,117,105,185
15,4,LinearDiscriminantAnalysis,0.857,0.008,0.857,0.86,1037,119,85,190
100,9,LinearDiscriminantAnalysis,0.857,0.016,0.856,0.86,1036,113,93,189
49,6,LinearDiscriminantAnalysis,0.857,0.011,0.857,0.86,1052,107,98,174
1,4,LogisticRegression,0.857,0.01,0.849,0.85,1056,100,116,159
66,7,LinearDiscriminantAnalysis,0.857,0.014,0.855,0.85,1026,108,100,197
35,6,LogisticRegression,0.857,0.011,0.857,0.86,1074,85,119,153
30,5,GaussianProcessClassifier,0.857,0.011,0.852,0.85,1064,101,111,155
18,5,LogisticRegression,0.856,0.009,0.858,0.86,1063,102,101,165
81,8,GaussianProcessClassifier,0.856,0.012,0.837,0.84,1049,92,141,149
47,6,GaussianProcessClassifier,0.856,0.01,0.863,0.86,1080,79,117,155
13,4,GaussianProcessClassifier,0.856,0.009,0.85,0.85,1056,100,115,160
98,9,GaussianProcessClassifier,0.856,0.019,0.855,0.86,1067,82,125,157
90,9,KNeighborsClassifier,0.854,0.016,0.847,0.85,1085,64,155,127
107,10,KNeighborsClassifier,0.853,0.014,0.841,0.84,1080,66,162,123
22,5,KNeighborsClassifier,0.853,0.005,0.848,0.85,1078,87,130,136
39,6,KNeighborsClassifier,0.852,0.008,0.853,0.85,1104,55,156,116
56,7,KNeighborsClassifier,0.852,0.013,0.84,0.84,1087,47,182,115
73,8,KNeighborsClassifier,0.851,0.012,0.832,0.83,1072,69,172,118
5,4,KNeighborsClassifier,0.851,0.004,0.853,0.85,1081,75,136,139
4,4,PassiveAggressiveClassifier,0.842,0.021,0.857,0.86,1038,118,87,188
9,4,GaussianNB,0.836,0.013,0.84,0.84,1048,108,121,154
26,5,GaussianNB,0.835,0.011,0.823,0.82,1026,139,114,152
77,8,GaussianNB,0.834,0.016,0.842,0.84,1045,96,130,160
94,9,GaussianNB,0.834,0.016,0.825,0.83,1025,124,126,156
43,6,GaussianNB,0.834,0.016,0.832,0.83,1054,105,136,136
111,10,GaussianNB,0.833,0.017,0.839,0.84,1047,99,131,154
60,7,GaussianNB,0.833,0.019,0.811,0.81,1011,123,148,149
50,6,QuadraticDiscriminantAnalysis,0.827,0.013,0.82,0.82,1034,125,132,140
101,9,QuadraticDiscriminantAnalysis,0.827,0.013,0.806,0.81,992,157,120,162
16,4,QuadraticDiscriminantAnalysis,0.825,0.013,0.832,0.83,1019,137,104,171
118,10,QuadraticDiscriminantAnalysis,0.825,0.017,0.827,0.83,1021,125,123,162
84,8,QuadraticDiscriminantAnalysis,0.824,0.015,0.831,0.83,1019,122,120,170
67,7,QuadraticDiscriminantAnalysis,0.824,0.017,0.809,0.81,994,140,134,163
33,5,QuadraticDiscriminantAnalysis,0.823,0.01,0.812,0.81,1008,157,112,154
72,8,PassiveAggressiveClassifier,0.81,0.044,0.829,0.83,1047,94,150,140
21,5,PassiveAggressiveClassifier,0.809,0.036,0.56,0.56,575,590,39,227
89,9,PassiveAggressiveClassifier,0.804,0.094,0.816,0.82,1142,7,256,26
55,7,PassiveAggressiveClassifier,0.803,0.079,0.829,0.83,1094,40,204,93
106,10,PassiveAggressiveClassifier,0.779,0.114,0.818,0.82,1110,36,225,60
38,6,PassiveAggressiveClassifier,0.776,0.065,0.841,0.84,1116,43,184,88
