Not Scaled,CV,Model,CVS_Accuracy,CVS_STD,Accuracy_Score,C_M_Accuracy,True_Neg,False_Neg,False_Pos,True_Pos
114,10,ExtraTreesClassifier,0.946,0.01,0.936,0.94,1136,7,84,200
97,9,ExtraTreesClassifier,0.943,0.01,0.933,0.93,1140,3,92,192
80,8,ExtraTreesClassifier,0.942,0.013,0.93,0.93,1154,4,96,173
46,6,ExtraTreesClassifier,0.94,0.007,0.935,0.93,1140,6,87,194
63,7,ExtraTreesClassifier,0.94,0.009,0.916,0.92,1140,3,117,167
29,5,ExtraTreesClassifier,0.937,0.005,0.933,0.93,1134,7,88,198
12,4,ExtraTreesClassifier,0.935,0.008,0.917,0.92,1132,3,115,177
62,7,RandomForestClassifier,0.927,0.011,0.913,0.91,1136,7,117,167
96,9,RandomForestClassifier,0.925,0.011,0.915,0.91,1137,6,116,168
79,8,RandomForestClassifier,0.924,0.014,0.912,0.91,1147,11,115,154
113,10,RandomForestClassifier,0.924,0.01,0.918,0.92,1131,12,105,179
45,6,RandomForestClassifier,0.921,0.008,0.91,0.91,1132,14,115,166
28,5,RandomForestClassifier,0.92,0.006,0.913,0.91,1133,8,116,170
11,4,RandomForestClassifier,0.917,0.008,0.903,0.9,1127,8,130,162
61,7,BaggingClassifier,0.916,0.008,0.909,0.91,1134,9,121,163
112,10,BaggingClassifier,0.914,0.017,0.897,0.9,1125,18,129,155
78,8,BaggingClassifier,0.911,0.011,0.905,0.9,1138,20,116,153
95,9,BaggingClassifier,0.909,0.015,0.905,0.91,1136,7,128,156
44,6,BaggingClassifier,0.907,0.011,0.897,0.9,1120,26,121,160
10,4,BaggingClassifier,0.907,0.007,0.891,0.89,1124,11,144,148
27,5,BaggingClassifier,0.906,0.004,0.909,0.91,1133,8,122,164
90,9,DecisionTreeClassifier,0.892,0.012,0.879,0.88,1079,64,108,176
57,7,ExtraTreeClassifier,0.892,0.012,0.872,0.87,1071,72,110,174
56,7,DecisionTreeClassifier,0.889,0.006,0.875,0.87,1073,70,109,175
65,7,GradientBoostingClassifier,0.889,0.014,0.891,0.89,1127,16,139,145
14,4,GradientBoostingClassifier,0.888,0.007,0.872,0.87,1116,19,163,129
40,6,ExtraTreeClassifier,0.887,0.013,0.888,0.89,1082,64,96,185
108,10,ExtraTreeClassifier,0.887,0.019,0.882,0.88,1082,61,107,177
116,10,GradientBoostingClassifier,0.887,0.011,0.891,0.89,1128,15,140,144
99,9,GradientBoostingClassifier,0.887,0.018,0.888,0.89,1132,11,149,135
82,8,GradientBoostingClassifier,0.886,0.01,0.882,0.88,1131,27,142,127
48,6,GradientBoostingClassifier,0.886,0.011,0.883,0.88,1123,23,144,137
31,5,GradientBoostingClassifier,0.886,0.004,0.871,0.87,1123,18,166,120
5,4,DecisionTreeClassifier,0.886,0.008,0.863,0.86,1060,75,121,171
22,5,DecisionTreeClassifier,0.885,0.006,0.876,0.88,1066,75,102,184
73,8,DecisionTreeClassifier,0.885,0.009,0.879,0.88,1076,82,90,179
107,10,DecisionTreeClassifier,0.884,0.012,0.884,0.88,1068,75,91,193
91,9,ExtraTreeClassifier,0.883,0.013,0.885,0.89,1084,59,105,179
74,8,ExtraTreeClassifier,0.883,0.012,0.878,0.88,1084,74,100,169
39,6,DecisionTreeClassifier,0.882,0.018,0.858,0.86,1054,92,111,170
6,4,ExtraTreeClassifier,0.882,0.009,0.872,0.87,1070,65,118,174
23,5,ExtraTreeClassifier,0.879,0.014,0.856,0.86,1054,87,119,167
111,10,AdaBoostClassifier,0.858,0.013,0.868,0.87,1102,41,148,136
43,6,AdaBoostClassifier,0.858,0.007,0.85,0.85,1090,56,158,123
77,8,AdaBoostClassifier,0.858,0.01,0.84,0.84,1087,71,157,112
26,5,AdaBoostClassifier,0.858,0.01,0.854,0.85,1104,37,171,115
60,7,AdaBoostClassifier,0.857,0.012,0.859,0.86,1101,42,159,125
94,9,AdaBoostClassifier,0.855,0.01,0.86,0.86,1099,44,156,128
9,4,AdaBoostClassifier,0.85,0.007,0.848,0.85,1087,48,169,123
83,8,LinearDiscriminantAnalysis,0.834,0.011,0.836,0.84,1118,40,194,75
49,6,LinearDiscriminantAnalysis,0.834,0.01,0.833,0.83,1102,44,195,86
18,5,RidgeClassifier,0.834,0.009,0.827,0.83,1120,21,226,60
100,9,LinearDiscriminantAnalysis,0.834,0.014,0.837,0.84,1107,36,196,88
32,5,LinearDiscriminantAnalysis,0.834,0.01,0.834,0.83,1108,33,204,82
66,7,LinearDiscriminantAnalysis,0.833,0.009,0.834,0.83,1109,34,203,81
52,7,RidgeClassifier,0.833,0.013,0.834,0.83,1123,20,217,67
117,10,LinearDiscriminantAnalysis,0.833,0.011,0.837,0.84,1111,32,200,84
15,4,LinearDiscriminantAnalysis,0.833,0.008,0.822,0.82,1091,44,210,82
1,4,RidgeClassifier,0.833,0.01,0.829,0.83,1116,19,225,67
35,6,RidgeClassifier,0.833,0.01,0.837,0.84,1122,24,208,73
69,8,RidgeClassifier,0.833,0.014,0.837,0.84,1134,24,209,60
86,9,RidgeClassifier,0.832,0.016,0.835,0.84,1120,23,212,72
103,10,RidgeClassifier,0.832,0.012,0.835,0.83,1121,22,214,70
72,8,KNeighborsClassifier,0.816,0.008,0.815,0.81,1099,59,205,64
59,7,GaussianNB,0.816,0.017,0.826,0.83,1124,19,230,54
106,10,KNeighborsClassifier,0.816,0.016,0.81,0.81,1086,57,214,70
25,5,GaussianNB,0.815,0.008,0.797,0.8,1094,47,242,44
93,9,GaussianNB,0.815,0.016,0.802,0.8,1093,50,232,52
42,6,GaussianNB,0.815,0.01,0.816,0.82,1116,30,232,49
38,6,KNeighborsClassifier,0.815,0.01,0.803,0.8,1092,54,227,54
110,10,GaussianNB,0.815,0.014,0.82,0.82,1113,30,227,57
55,7,KNeighborsClassifier,0.814,0.009,0.82,0.82,1108,35,222,62
76,8,GaussianNB,0.814,0.012,0.807,0.81,1116,42,233,36
8,4,GaussianNB,0.814,0.008,0.809,0.81,1109,26,246,46
4,4,KNeighborsClassifier,0.814,0.008,0.798,0.8,1082,53,235,57
101,9,QuadraticDiscriminantAnalysis,0.812,0.014,0.788,0.79,1010,133,169,115
50,6,QuadraticDiscriminantAnalysis,0.812,0.008,0.802,0.8,1020,126,156,125
89,9,KNeighborsClassifier,0.811,0.015,0.807,0.81,1099,44,231,53
84,8,QuadraticDiscriminantAnalysis,0.811,0.01,0.81,0.81,1051,107,164,105
21,5,KNeighborsClassifier,0.811,0.01,0.809,0.81,1096,45,227,59
33,5,QuadraticDiscriminantAnalysis,0.81,0.013,0.809,0.81,1041,100,173,113
