,CV,Model,CVS_Accuracy,CVS_STD,Accuracy_Score,C_M_Accuracy,True_Neg,False_Neg,False_Pos,True_Pos
97,9,ExtraTreesClassifier,0.945,0.012,0.931,0.93,1138,5,93,191
114,10,ExtraTreesClassifier,0.944,0.011,0.935,0.93,1138,5,88,196
63,7,ExtraTreesClassifier,0.943,0.009,0.922,0.92,1140,3,109,175
80,8,ExtraTreesClassifier,0.942,0.01,0.933,0.93,1155,3,93,176
46,6,ExtraTreesClassifier,0.94,0.005,0.934,0.93,1143,3,91,190
29,5,ExtraTreesClassifier,0.935,0.006,0.931,0.93,1137,4,94,192
12,4,ExtraTreesClassifier,0.935,0.007,0.912,0.91,1127,8,117,175
113,10,RandomForestClassifier,0.926,0.011,0.917,0.92,1135,8,110,174
96,9,RandomForestClassifier,0.925,0.012,0.92,0.92,1137,6,108,176
79,8,RandomForestClassifier,0.923,0.01,0.915,0.91,1148,10,112,157
62,7,RandomForestClassifier,0.923,0.012,0.912,0.91,1137,6,119,165
28,5,RandomForestClassifier,0.923,0.008,0.918,0.92,1136,5,112,174
45,6,RandomForestClassifier,0.922,0.009,0.907,0.91,1131,15,117,164
11,4,RandomForestClassifier,0.919,0.011,0.906,0.91,1130,5,129,163
78,8,BaggingClassifier,0.916,0.009,0.905,0.91,1140,18,117,152
95,9,BaggingClassifier,0.916,0.014,0.9,0.9,1132,11,132,152
112,10,BaggingClassifier,0.913,0.014,0.901,0.9,1124,19,122,162
44,6,BaggingClassifier,0.912,0.01,0.901,0.9,1118,28,113,168
61,7,BaggingClassifier,0.909,0.014,0.903,0.9,1137,6,133,151
10,4,BaggingClassifier,0.907,0.009,0.89,0.89,1123,12,145,147
27,5,BaggingClassifier,0.907,0.009,0.9,0.9,1129,12,130,156
108,10,ExtraTreeClassifier,0.893,0.011,0.884,0.88,1079,64,102,182
91,9,ExtraTreeClassifier,0.892,0.008,0.859,0.86,1056,87,114,170
56,7,DecisionTreeClassifier,0.891,0.005,0.872,0.87,1061,82,100,184
65,7,GradientBoostingClassifier,0.89,0.014,0.891,0.89,1127,16,139,145
82,8,GradientBoostingClassifier,0.889,0.011,0.882,0.88,1131,27,142,127
14,4,GradientBoostingClassifier,0.888,0.007,0.872,0.87,1116,19,163,129
116,10,GradientBoostingClassifier,0.887,0.011,0.891,0.89,1128,15,140,144
48,6,GradientBoostingClassifier,0.887,0.012,0.883,0.88,1123,23,144,137
99,9,GradientBoostingClassifier,0.887,0.017,0.891,0.89,1130,13,143,141
90,9,DecisionTreeClassifier,0.887,0.015,0.876,0.88,1075,68,109,175
73,8,DecisionTreeClassifier,0.886,0.009,0.879,0.88,1072,86,87,182
31,5,GradientBoostingClassifier,0.886,0.004,0.871,0.87,1123,18,166,120
57,7,ExtraTreeClassifier,0.886,0.009,0.874,0.87,1077,66,114,170
22,5,DecisionTreeClassifier,0.885,0.002,0.872,0.87,1061,80,103,183
5,4,DecisionTreeClassifier,0.884,0.007,0.868,0.87,1065,70,119,173
74,8,ExtraTreeClassifier,0.883,0.014,0.875,0.87,1085,73,106,163
40,6,ExtraTreeClassifier,0.882,0.015,0.868,0.87,1068,78,110,171
107,10,DecisionTreeClassifier,0.882,0.014,0.877,0.88,1058,85,91,193
39,6,DecisionTreeClassifier,0.881,0.019,0.851,0.85,1045,101,111,170
23,5,ExtraTreeClassifier,0.88,0.012,0.88,0.88,1075,66,105,181
6,4,ExtraTreeClassifier,0.873,0.007,0.876,0.88,1070,65,112,180
106,10,KNeighborsClassifier,0.871,0.01,0.854,0.85,1137,6,202,82
89,9,KNeighborsClassifier,0.87,0.012,0.858,0.86,1141,2,201,83
72,8,KNeighborsClassifier,0.868,0.013,0.87,0.87,1151,7,178,91
38,6,KNeighborsClassifier,0.867,0.009,0.855,0.85,1125,21,186,95
55,7,KNeighborsClassifier,0.866,0.009,0.866,0.87,1143,0,191,93
21,5,KNeighborsClassifier,0.864,0.011,0.854,0.85,1128,13,196,90
4,4,KNeighborsClassifier,0.863,0.014,0.852,0.85,1134,1,210,82
77,8,AdaBoostClassifier,0.859,0.01,0.84,0.84,1087,71,157,112
26,5,AdaBoostClassifier,0.858,0.01,0.854,0.85,1104,37,171,115
111,10,AdaBoostClassifier,0.858,0.013,0.868,0.87,1102,41,148,136
43,6,AdaBoostClassifier,0.858,0.007,0.85,0.85,1090,56,158,123
60,7,AdaBoostClassifier,0.857,0.012,0.86,0.86,1101,42,158,126
94,9,AdaBoostClassifier,0.855,0.01,0.86,0.86,1099,44,156,128
9,4,AdaBoostClassifier,0.85,0.007,0.849,0.85,1087,48,168,124
75,8,SVC,0.84,0.014,0.838,0.84,1148,10,221,48
109,10,SVC,0.839,0.014,0.832,0.83,1137,6,234,50
58,7,SVC,0.838,0.014,0.837,0.84,1138,5,227,57
92,9,SVC,0.838,0.019,0.834,0.83,1136,7,230,54
