,CV,Model,Model_Accuracy,Model_STD,Accuracy_Score
80,8,ExtraTreesClassifier,0.939,0.011,1.0
114,10,ExtraTreesClassifier,0.939,0.012,1.0
46,6,ExtraTreesClassifier,0.938,0.011,1.0
97,9,ExtraTreesClassifier,0.937,0.013,1.0
29,5,ExtraTreesClassifier,0.936,0.009,1.0
63,7,ExtraTreesClassifier,0.936,0.012,1.0
12,4,ExtraTreesClassifier,0.931,0.013,1.0
113,10,RandomForestClassifier,0.925,0.013,1.0
62,7,RandomForestClassifier,0.924,0.013,1.0
96,9,RandomForestClassifier,0.923,0.013,1.0
28,5,RandomForestClassifier,0.922,0.008,1.0
79,8,RandomForestClassifier,0.921,0.012,1.0
45,6,RandomForestClassifier,0.919,0.011,1.0
11,4,RandomForestClassifier,0.917,0.011,1.0
95,9,BaggingClassifier,0.916,0.013,0.993
44,6,BaggingClassifier,0.91,0.014,0.991
112,10,BaggingClassifier,0.909,0.015,0.993
78,8,BaggingClassifier,0.907,0.014,0.992
10,4,BaggingClassifier,0.905,0.009,0.994
61,7,BaggingClassifier,0.905,0.009,0.992
27,5,BaggingClassifier,0.901,0.011,0.994
116,10,GradientBoostingClassifier,0.889,0.018,0.91
108,10,ExtraTreeClassifier,0.887,0.015,1.0
99,9,GradientBoostingClassifier,0.887,0.018,0.91
82,8,GradientBoostingClassifier,0.887,0.013,0.91
65,7,GradientBoostingClassifier,0.886,0.015,0.91
14,4,GradientBoostingClassifier,0.886,0.015,0.91
48,6,GradientBoostingClassifier,0.885,0.015,0.91
31,5,GradientBoostingClassifier,0.885,0.013,0.91
107,10,DecisionTreeClassifier,0.883,0.012,1.0
91,9,ExtraTreeClassifier,0.883,0.013,1.0
90,9,DecisionTreeClassifier,0.883,0.014,1.0
74,8,ExtraTreeClassifier,0.882,0.012,1.0
40,6,ExtraTreeClassifier,0.881,0.011,1.0
39,6,DecisionTreeClassifier,0.881,0.016,1.0
22,5,DecisionTreeClassifier,0.88,0.013,1.0
56,7,DecisionTreeClassifier,0.879,0.014,1.0
23,5,ExtraTreeClassifier,0.878,0.013,1.0
5,4,DecisionTreeClassifier,0.876,0.011,1.0
57,7,ExtraTreeClassifier,0.875,0.019,1.0
73,8,DecisionTreeClassifier,0.874,0.016,1.0
6,4,ExtraTreeClassifier,0.874,0.004,1.0
106,10,KNeighborsClassifier,0.865,0.012,0.908
89,9,KNeighborsClassifier,0.865,0.013,0.908
72,8,KNeighborsClassifier,0.863,0.013,0.908
21,5,KNeighborsClassifier,0.86,0.012,0.908
55,7,KNeighborsClassifier,0.86,0.013,0.908
4,4,KNeighborsClassifier,0.86,0.011,0.908
38,6,KNeighborsClassifier,0.86,0.012,0.908
77,8,AdaBoostClassifier,0.858,0.016,0.866
26,5,AdaBoostClassifier,0.858,0.009,0.866
94,9,AdaBoostClassifier,0.857,0.018,0.866
9,4,AdaBoostClassifier,0.857,0.011,0.866
111,10,AdaBoostClassifier,0.856,0.021,0.866
43,6,AdaBoostClassifier,0.855,0.012,0.866
60,7,AdaBoostClassifier,0.854,0.017,0.866
