ID,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
1,1100,25860,39025,HomeImp,Other,10.5,0,0,94.36666667,1,9,
2,1300,70053,68400,HomeImp,Other,7,0,2,121.8333333,0,14,
3,1500,13500,16700,HomeImp,Other,4,0,0,149.4666667,1,10,
4,1500,,,,,,,,,,,
5,1700,97800,112000,HomeImp,Office,3,0,0,93.33333333,0,14,
6,1700,30548,40320,HomeImp,Other,9,0,0,101.4660019,1,8,37.11361356
6,1700,30548,40320,HomeImp,Other,9,0,0,101.4660019,1,8,37.11361356
7,1800,48649,57037,HomeImp,Other,5,3,2,77.1,1,17,
8,1800,28502,43034,HomeImp,Other,11,0,0,88.76602988,0,8,36.88489409
9,2000,32700,46740,HomeImp,Other,3,0,2,216.9333333,1,12,
10,2000,,62250,HomeImp,Sales,16,0,0,115.8,0,13,
11,2000,22608,,,,18,,,,,,
12,2000,20627,29800,HomeImp,Office,11,0,1,122.5333333,1,9,
13,2000,45000,55000,HomeImp,Other,3,0,0,86.06666667,2,25,
14,2000,64536,87400,,Mgr,2.5,0,0,147.1333333,0,24,
15,2100,71000,83850,HomeImp,Other,8,0,1,123,0,16,
16,2200,24280,34687,HomeImp,Other,,0,1,300.8666667,0,8,
17,2200,90957,102600,HomeImp,Mgr,7,2,6,122.9,1,22,
18,2200,23030,,,,19,,,,,,3.7113123
19,2300,28192,40150,HomeImp,Other,4.5,0,0,54.6,1,16,
20,2300,102370,120953,HomeImp,Office,2,0,0,90.99253347,0,13,31.58850318
21,2300,37626,46200,HomeImp,Other,3,0,1,122.2666667,1,14,
22,2400,50000,73395,HomeImp,ProfExe,5,1,0,,1,0,
23,2400,28000,40800,HomeImp,Mgr,9999,0,0,67.2,2,22,
24,2400,18000,,HomeImp,Mgr,22,,2,121.7333333,0,10,
25,2400,,17180,HomeImp,Other,,0,0,14.56666667,3,4,
26,2400,34863,47471,HomeImp,Mgr,12,0,0,70.49108003,1,21,38.26360073
26,2400,34863,47471,HomeImp,Mgr,12,0,0,70.49108003,1,21,38.26360073
27,2400,98449,117195,HomeImp,Office,4,0,0,93.81177486,0,13,29.68182705
27,2400,98449,117195,HomeImp,Office,4,0,0,93.81177486,0,13,29.68182705
28,2500,15000,20200,HomeImp,,18,0,0,136.0666667,1,19,
29,2500,25116,36350,HomeImp,Other,10,1,2,276.9666667,0,9,
30,2500,7229,44516,HomeImp,Self,,0,0,208,0,12,
31,2500,71408,78600,HomeImp,ProfExe,8,0,0,255.7333333,0,12,
32,2800,50795,63100,HomeImp,Self,26,2,15,145.6333333,3,45,
33,2800,4000,60850,HomeImp,Other,16,4,0,112.6333333,2,9,
34,2900,78600,113000,DebtCon,ProfExe,6,1,0,165.3333333,2,26,
35,2900,103949,112505,HomeImp,Office,1,0,0,96.10232967,0,13,30.05113629
36,2900,104373,120702,HomeImp,Office,2,0,0,101.5402975,0,13,29.91585903
37,2900,7750,67996,HomeImp,Other,16,3,0,122.2046628,2,8,36.211348
38,2900,61962,70915,DebtCon,Mgr,2,0,0,282.8016592,3,37,49.20639579
39,3000,104570,121729,HomeImp,Office,2,0,0,85.8843719,0,14,32.05978327
40,3000,7000,20300,HomeImp,Other,3,0,0,50.8,5,9,
41,3000,,8800,HomeImp,Other,2,0,1,77.76666667,0,3,
42,3000,,33000,HomeImp,Other,1,0,1,23.3,1,2,
43,3000,119826,193500,HomeImp,Other,8,0,0,130.0333585,0,27,
44,3000,20000,29750,DebtCon,Other,2,0,0,187.0666667,0,12,
45,3000,,14500,HomeImp,Other,3,0,0,9.3,14,2,
46,3000,,14100,HomeImp,Other,1,0,0,104.2,0,19,
47,3000,47000,82700,HomeImp,ProfExe,10,0,1,262.1666667,5,26,
48,3000,34542,45900,HomeImp,Mgr,8.5,0,2,62.36666667,0,10,
49,3000,58000,71500,HomeImp,Mgr,10,,2,211.9333333,0,25,
50,3000,47000,56400,HomeImp,Office,21,0,0,201.8666667,0,20,
51,3100,39589,36100,HomeImp,Other,1.5,0,0,153.1666667,1,14,
52,3100,,70400,,,,,,,,,
53,3200,67848,74566,HomeImp,Mgr,10,,1,206.4266021,0,25,40.11567728
54,3200,48603,61000,HomeImp,ProfExe,28,0,4,122.0333333,1,25,
55,3200,27200,40834,HomeImp,Other,,0,0,298.131564,0,7,35.55353879
56,3200,54000,64850,HomeImp,Other,1,0,0,121.8666667,3,21,
57,3200,74864,87266,HomeImp,ProfExe,7,0,0,250.6312692,0,12,42.90999735
58,3200,23159,,HomeImp,Mgr,20,,2,117.8057478,0,9,0.524499215
59,3300,126541,134527,HomeImp,Sales,9,1,0,139,0,36,
60,3300,130518,164317,DebtCon,Other,9,0,6,192.289149,0,33,35.73055919
61,3400,37000,52000,HomeImp,Office,2,0,1,183.2999156,0,6,
62,3500,23200,38666,HomeImp,Other,11,0,0,162.3666667,0,14,
63,3500,19400,20494,HomeImp,Other,5,0,0,95.93333333,0,9,
64,3600,61584,61800,HomeImp,ProfExe,10,,,,,,
65,3600,41900,52490,HomeImp,Mgr,3,0,0,72.03333333,2,4,
66,3600,83700,111800,HomeImp,ProfExe,6,0,0,192.7333333,1,28,
67,3600,61327,76484,HomeImp,Mgr,9,,2,202.5107752,0,25,41.5163897
68,3600,100693,114743,HomeImp,Office,6,0,0,88.47045214,0,14,29.39354338
69,3600,48507,61000,DebtCon,Office,13,1,4,97.4,0,17,
70,3600,52337,63989,HomeImp,Office,20,0,0,204.2724988,0,20,20.47091551
71,3700,17857,21144,HomeImp,Other,5,0,0,129.7173231,1,9,26.63434752
72,3800,19135,97692,HomeImp,Mgr,1.6,1,6,252.6333333,1,25,
73,3800,51180,63459,HomeImp,Office,20,0,0,203.7515336,0,20,20.06704205
74,3800,,73189,,,,,,,,,22.25394916
75,3800,11543,46045,HomeImp,Self,,0,0,204.6479917,0,11,42.17316588
76,3900,29896,45960,HomeImp,Other,11,0,0,146.1232422,0,14,24.47888119
77,3900,14500,22092,HomeImp,Other,3.5,0,1,150.3,5,8,
78,3900,52825,63000,DebtCon,ProfExe,8,0,4,171.6666667,1,31,
79,3900,102143,118742,HomeImp,Office,2,0,0,85.27736558,0,13,29.34392109
80,3900,21200,39000,DebtCon,Mgr,4,0,1,86.56666667,2,14,
81,4000,105164,112774,HomeImp,Office,1,0,0,94.72487417,0,13,29.39092806
82,4000,54543,61777,HomeImp,Office,21,0,0,205.58668,0,19,21.80656346
83,4000,,80609,HomeImp,Other,1.5,0,2,126.5333333,3,12,
84,4000,26572,31960,HomeImp,Office,11,0,0,117.7951039,0,8,41.28649195
85,4000,17000,52012,HomeImp,ProfExe,22,3,1,85.33333333,1,9,
86,4000,29562,37200,DebtCon,Other,6,0,0,92.13333333,1,26,
87,4000,41700,76725,HomeImp,Other,0.5,0,3,136.1333333,0,15,
88,4000,58000,69440,HomeImp,Other,3.5,0,1,168.6666667,0,18,
89,4000,5700,18000,DebtCon,Other,,0,0,12.2,0,17,
90,4000,45000,58350,HomeImp,Mgr,3.5,0,0,162,3,16,
91,4000,7000,16020,HomeImp,Other,18,0,1,85.8,2,23,
92,4000,66000,79050,HomeImp,Other,1.8,2,0,279,1,6,
93,4000,,45760,HomeImp,,0,0,0,,0,0,
94,4000,62000,78000,HomeImp,Other,4,0,0,109.5666667,0,15,
95,4000,64240,63990,HomeImp,Sales,5,2,0,160.3,1,23,
96,4000,74000,93000,HomeImp,ProfExe,2.6,1,3,186.6333333,,9,
97,4000,55000,59000,DebtCon,Other,12,2,0,146.1,0,22,
98,4000,67625,80698,HomeImp,Mgr,11,,1,212.3493039,0,25,39.12871763
99,4000,67533,71865,HomeImp,Mgr,10,,2,227.7929884,0,25,39.1663287
100,4100,,19132,HomeImp,Other,0,0,0,100.7746522,0,19,33.8409199
