,CV,Model,CVS_Accuracy,CVS_STD,Accuracy_Score,C_M_Accuracy,True_Neg,False_Neg,False_Pos,True_Pos
45,6,RandomForestClassifier,0.918,0.007,0.91,0.91,1117,76,53,190
79,8,RandomForestClassifier,0.916,0.016,0.892,0.89,1082,102,53,199
96,9,RandomForestClassifier,0.916,0.011,0.917,0.92,1113,74,45,204
62,7,RandomForestClassifier,0.916,0.009,0.907,0.91,1109,91,42,194
28,5,RandomForestClassifier,0.915,0.008,0.912,0.91,1115,86,41,194
113,10,RandomForestClassifier,0.914,0.016,0.912,0.91,1109,83,44,200
46,6,ExtraTreesClassifier,0.913,0.005,0.894,0.89,1105,87,65,179
80,8,ExtraTreesClassifier,0.911,0.015,0.892,0.89,1080,100,55,201
114,10,ExtraTreesClassifier,0.911,0.014,0.904,0.9,1106,91,47,192
97,9,ExtraTreesClassifier,0.911,0.013,0.912,0.91,1112,81,46,197
63,7,ExtraTreesClassifier,0.911,0.012,0.908,0.91,1109,90,42,195
11,4,RandomForestClassifier,0.91,0.005,0.908,0.91,1103,92,40,201
29,5,ExtraTreesClassifier,0.91,0.008,0.909,0.91,1113,88,43,192
112,10,BaggingClassifier,0.908,0.013,0.896,0.9,1105,102,48,181
65,7,GradientBoostingClassifier,0.908,0.011,0.903,0.9,1114,102,37,183
31,5,GradientBoostingClassifier,0.908,0.004,0.903,0.9,1108,92,48,188
48,6,GradientBoostingClassifier,0.907,0.01,0.905,0.9,1117,84,53,182
61,7,BaggingClassifier,0.907,0.013,0.893,0.89,1105,107,46,178
12,4,ExtraTreesClassifier,0.907,0.009,0.893,0.89,1092,102,51,191
82,8,GradientBoostingClassifier,0.905,0.012,0.889,0.89,1080,104,55,197
14,4,GradientBoostingClassifier,0.905,0.005,0.9,0.9,1098,99,45,194
99,9,GradientBoostingClassifier,0.905,0.014,0.907,0.91,1108,84,50,194
116,10,GradientBoostingClassifier,0.904,0.013,0.901,0.9,1106,95,47,188
10,4,BaggingClassifier,0.903,0.004,0.903,0.9,1107,104,36,189
77,8,AdaBoostClassifier,0.902,0.009,0.878,0.88,1071,111,64,190
27,5,BaggingClassifier,0.902,0.007,0.9,0.9,1103,91,53,189
60,7,AdaBoostClassifier,0.902,0.011,0.9,0.9,1107,99,44,186
43,6,AdaBoostClassifier,0.901,0.01,0.896,0.9,1106,86,64,180
26,5,AdaBoostClassifier,0.901,0.004,0.898,0.9,1102,93,54,187
44,6,BaggingClassifier,0.9,0.007,0.896,0.9,1115,95,55,171
94,9,AdaBoostClassifier,0.9,0.015,0.898,0.9,1099,88,59,190
111,10,AdaBoostClassifier,0.899,0.02,0.896,0.9,1105,101,48,182
78,8,BaggingClassifier,0.899,0.011,0.889,0.89,1082,107,53,194
