,CV,Model,CVS_Accuracy,CVS_STD,Accuracy_Score,C_M_Accuracy,True_Neg,False_Neg,False_Pos,True_Pos
114,10,ExtraTreesClassifier,0.942,0.012,0.944,0.94,1170,77,3,181
80,8,ExtraTreesClassifier,0.941,0.012,0.932,0.93,1140,91,6,194
97,9,ExtraTreesClassifier,0.939,0.01,0.925,0.93,1141,104,3,183
63,7,ExtraTreesClassifier,0.938,0.008,0.926,0.93,1142,105,1,183
29,5,ExtraTreesClassifier,0.937,0.006,0.923,0.92,1135,106,4,186
46,6,ExtraTreesClassifier,0.936,0.007,0.932,0.93,1148,95,2,186
12,4,ExtraTreesClassifier,0.93,0.008,0.93,0.93,1130,97,3,201
113,10,RandomForestClassifier,0.926,0.01,0.928,0.93,1164,94,9,164
79,8,RandomForestClassifier,0.924,0.01,0.91,0.91,1139,122,7,163
96,9,RandomForestClassifier,0.924,0.011,0.914,0.91,1142,121,2,166
62,7,RandomForestClassifier,0.923,0.005,0.907,0.91,1138,128,5,160
28,5,RandomForestClassifier,0.919,0.007,0.912,0.91,1136,123,3,169
45,6,RandomForestClassifier,0.919,0.007,0.913,0.91,1143,117,7,164
11,4,RandomForestClassifier,0.916,0.005,0.911,0.91,1129,123,4,175
112,10,BaggingClassifier,0.914,0.012,0.92,0.92,1160,101,13,157
78,8,BaggingClassifier,0.914,0.012,0.908,0.91,1128,113,18,172
95,9,BaggingClassifier,0.913,0.009,0.899,0.9,1117,117,27,170
44,6,BaggingClassifier,0.91,0.01,0.908,0.91,1138,120,12,161
27,5,BaggingClassifier,0.908,0.01,0.897,0.9,1117,126,22,166
61,7,BaggingClassifier,0.906,0.005,0.897,0.9,1136,140,7,148
10,4,BaggingClassifier,0.904,0.008,0.895,0.9,1122,139,11,159
108,10,ExtraTreeClassifier,0.893,0.013,0.874,0.87,1092,99,81,159
74,8,ExtraTreeClassifier,0.892,0.009,0.886,0.89,1089,106,57,179
65,7,GradientBoostingClassifier,0.891,0.01,0.879,0.88,1135,165,8,123
116,10,GradientBoostingClassifier,0.891,0.012,0.905,0.9,1162,125,11,133
91,9,ExtraTreeClassifier,0.891,0.017,0.899,0.9,1095,96,49,191
99,9,GradientBoostingClassifier,0.891,0.012,0.888,0.89,1128,144,16,143
48,6,GradientBoostingClassifier,0.891,0.009,0.884,0.88,1136,152,14,129
82,8,GradientBoostingClassifier,0.89,0.011,0.881,0.88,1128,152,18,133
14,4,GradientBoostingClassifier,0.889,0.009,0.884,0.88,1123,156,10,142
56,7,DecisionTreeClassifier,0.889,0.01,0.876,0.88,1069,103,74,185
31,5,GradientBoostingClassifier,0.889,0.007,0.882,0.88,1128,158,11,134
90,9,DecisionTreeClassifier,0.888,0.017,0.857,0.86,1052,112,92,175
57,7,ExtraTreeClassifier,0.888,0.013,0.876,0.88,1084,119,59,169
40,6,ExtraTreeClassifier,0.888,0.009,0.881,0.88,1100,120,50,161
22,5,DecisionTreeClassifier,0.888,0.01,0.878,0.88,1069,105,70,187
23,5,ExtraTreeClassifier,0.885,0.01,0.876,0.88,1072,110,67,182
6,4,ExtraTreeClassifier,0.885,0.001,0.881,0.88,1059,97,74,201
5,4,DecisionTreeClassifier,0.883,0.006,0.867,0.87,1068,125,65,173
73,8,DecisionTreeClassifier,0.881,0.008,0.867,0.87,1071,115,75,170
39,6,DecisionTreeClassifier,0.881,0.007,0.881,0.88,1085,105,65,176
107,10,DecisionTreeClassifier,0.88,0.019,0.884,0.88,1104,97,69,161
43,6,AdaBoostClassifier,0.859,0.006,0.855,0.85,1105,163,45,118
26,5,AdaBoostClassifier,0.859,0.006,0.851,0.85,1102,176,37,116
111,10,AdaBoostClassifier,0.858,0.01,0.873,0.87,1125,134,48,124
60,7,AdaBoostClassifier,0.857,0.006,0.85,0.85,1101,172,42,116
9,4,AdaBoostClassifier,0.856,0.005,0.857,0.86,1087,158,46,140
77,8,AdaBoostClassifier,0.856,0.01,0.853,0.85,1099,163,47,122
94,9,AdaBoostClassifier,0.855,0.012,0.849,0.85,1084,156,60,131
18,5,RidgeClassifier,0.835,0.01,0.83,0.83,1111,215,28,77
52,7,RidgeClassifier,0.835,0.011,0.826,0.83,1121,227,22,61
69,8,RidgeClassifier,0.835,0.014,0.832,0.83,1120,215,26,70
103,10,RidgeClassifier,0.835,0.014,0.856,0.86,1152,185,21,73
1,4,RidgeClassifier,0.835,0.013,0.832,0.83,1110,217,23,81
100,9,LinearDiscriminantAnalysis,0.834,0.013,0.821,0.82,1097,209,47,78
86,9,RidgeClassifier,0.834,0.014,0.824,0.82,1112,220,32,67
117,10,LinearDiscriminantAnalysis,0.834,0.013,0.853,0.85,1131,169,42,89
66,7,LinearDiscriminantAnalysis,0.834,0.008,0.832,0.83,1112,210,31,78
49,6,LinearDiscriminantAnalysis,0.834,0.007,0.839,0.84,1112,192,38,89
35,6,RidgeClassifier,0.834,0.012,0.839,0.84,1128,209,22,72
83,8,LinearDiscriminantAnalysis,0.833,0.01,0.836,0.84,1108,196,38,89
32,5,LinearDiscriminantAnalysis,0.832,0.004,0.829,0.83,1095,200,44,92
15,4,LinearDiscriminantAnalysis,0.832,0.008,0.829,0.83,1086,197,47,101
106,10,KNeighborsClassifier,0.819,0.013,0.831,0.83,1130,199,43,59
21,5,KNeighborsClassifier,0.818,0.01,0.813,0.81,1102,230,37,62
72,8,KNeighborsClassifier,0.818,0.015,0.813,0.81,1108,229,38,56
55,7,KNeighborsClassifier,0.817,0.009,0.816,0.82,1103,223,40,65
42,6,GaussianNB,0.816,0.018,0.819,0.82,1114,223,36,58
89,9,KNeighborsClassifier,0.816,0.016,0.811,0.81,1100,226,44,61
76,8,GaussianNB,0.815,0.021,0.81,0.81,1115,241,31,44
4,4,KNeighborsClassifier,0.815,0.013,0.806,0.81,1100,245,33,53
38,6,KNeighborsClassifier,0.815,0.013,0.814,0.81,1109,225,41,56
8,4,GaussianNB,0.815,0.024,0.811,0.81,1107,245,26,53
25,5,GaussianNB,0.815,0.014,0.804,0.8,1098,239,41,53
93,9,GaussianNB,0.814,0.023,0.806,0.81,1107,240,37,47
110,10,GaussianNB,0.814,0.023,0.816,0.82,1117,207,56,51
59,7,GaussianNB,0.814,0.015,0.82,0.82,1126,241,17,47
85,9,LogisticRegression,0.807,0.016,0.797,0.8,1137,283,7,4
51,7,LogisticRegression,0.806,0.01,0.802,0.8,1140,281,3,7
50,6,QuadraticDiscriminantAnalysis,0.805,0.019,0.813,0.81,1037,155,113,126
101,9,QuadraticDiscriminantAnalysis,0.804,0.017,0.801,0.8,1030,171,114,116
118,10,QuadraticDiscriminantAnalysis,0.804,0.02,0.814,0.81,1052,145,121,113
33,5,QuadraticDiscriminantAnalysis,0.804,0.016,0.802,0.8,1023,168,116,124
81,8,GaussianProcessClassifier,0.803,0.015,0.801,0.8,1146,285,0,0
75,8,SVC,0.803,0.015,0.802,0.8,1146,284,0,1
30,5,GaussianProcessClassifier,0.803,0.007,0.797,0.8,1139,291,0,1
98,9,GaussianProcessClassifier,0.803,0.014,0.801,0.8,1144,285,0,2
41,6,SVC,0.803,0.011,0.804,0.8,1150,280,0,1
47,6,GaussianProcessClassifier,0.803,0.011,0.804,0.8,1150,280,0,1
24,5,SVC,0.803,0.007,0.797,0.8,1139,291,0,1
109,10,SVC,0.803,0.016,0.82,0.82,1173,258,0,0
58,7,SVC,0.803,0.007,0.8,0.8,1143,286,0,2
92,9,SVC,0.803,0.014,0.8,0.8,1144,286,0,1
64,7,GaussianProcessClassifier,0.803,0.007,0.801,0.8,1143,285,0,3
67,7,QuadraticDiscriminantAnalysis,0.803,0.018,0.797,0.8,1030,178,113,110
68,8,LogisticRegression,0.803,0.016,0.798,0.8,1141,284,5,1
13,4,GaussianProcessClassifier,0.803,0.012,0.792,0.79,1133,298,0,0
7,4,SVC,0.803,0.013,0.792,0.79,1133,297,0,1
115,10,GaussianProcessClassifier,0.803,0.016,0.821,0.82,1173,256,0,2
84,8,QuadraticDiscriminantAnalysis,0.803,0.021,0.827,0.83,1058,160,88,125
102,10,LogisticRegression,0.803,0.019,0.818,0.82,1171,258,2,0
16,4,QuadraticDiscriminantAnalysis,0.802,0.021,0.808,0.81,1017,159,116,139
34,6,LogisticRegression,0.802,0.012,0.805,0.81,1147,276,3,5
0,4,LogisticRegression,0.801,0.014,0.791,0.79,1131,297,2,1
17,5,LogisticRegression,0.8,0.008,0.795,0.8,1137,291,2,1
3,4,PassiveAggressiveClassifier,0.797,0.018,0.791,0.79,1130,296,3,2
36,6,SGDClassifier,0.795,0.01,0.788,0.79,1119,273,31,8
88,9,PassiveAggressiveClassifier,0.782,0.036,0.799,0.8,1144,287,0,0
105,10,PassiveAggressiveClassifier,0.75,0.151,0.82,0.82,1173,258,0,0
53,7,SGDClassifier,0.714,0.212,0.782,0.78,1108,277,35,11
54,7,PassiveAggressiveClassifier,0.714,0.208,0.801,0.8,1140,282,3,6
20,5,PassiveAggressiveClassifier,0.681,0.239,0.796,0.8,1139,292,0,0
70,8,SGDClassifier,0.668,0.218,0.199,0.2,0,0,1146,285
2,4,SGDClassifier,0.645,0.265,0.792,0.79,1133,298,0,0
37,6,PassiveAggressiveClassifier,0.617,0.267,0.208,0.21,23,6,1127,275
104,10,SGDClassifier,0.605,0.265,0.809,0.81,1149,249,24,9
19,5,SGDClassifier,0.604,0.238,0.744,0.74,1047,274,92,18
87,9,SGDClassifier,0.564,0.276,0.785,0.78,1105,269,39,18
71,8,PassiveAggressiveClassifier,0.499,0.287,0.222,0.22,45,12,1101,273
