ID,BAD_LOAN,AMOUNT_REQUESTED,EXIST_MORTG_DEBT,EXIST_PROPERTY_VALUE,LOAN_REASON,JOB,EMPLOYED_YEARS,DEROG_REPORTS,DELINQ_CR_LINES,CR_LINES_AGE(MTS),NO_OF_RECENT_CR_LINES,NO_OF_CR_LINES,DEBT_TO_INCOME
1,1,1100,25860.0,39025.0,HomeImp,Other,10.5,0.0,0.0,94.36666667,1.0,9.0,2033.121487
2,1,1300,70053.0,68400.0,HomeImp,Other,7.0,0.0,2.0,121.8333333,0.0,14.0,2033.121487
3,1,1500,13500.0,16700.0,HomeImp,Other,4.0,0.0,0.0,149.4666667,1.0,10.0,2033.121487
4,1,1500,3995500.0,8559090.0,Other,Other,99990.0,100.0,150.0,6483.284926,170.0,710.0,2033.121487
5,0,1700,97800.0,112000.0,HomeImp,Office,3.0,0.0,0.0,93.33333333,0.0,14.0,2033.121487
6,1,1700,30548.0,40320.0,HomeImp,Other,9.0,0.0,0.0,101.4660019,1.0,8.0,37.11361356
7,1,1800,48649.0,57037.0,HomeImp,Other,5.0,3.0,2.0,77.1,1.0,17.0,2033.121487
8,1,1800,28502.0,43034.0,HomeImp,Other,11.0,0.0,0.0,88.76602988,0.0,8.0,36.88489409
9,1,2000,32700.0,46740.0,HomeImp,Other,3.0,0.0,2.0,216.9333333,1.0,12.0,2033.121487
10,1,2000,3995500.0,62250.0,HomeImp,Sales,16.0,0.0,0.0,115.8,0.0,13.0,2033.121487
11,1,2000,22608.0,8559090.0,Other,Other,18.0,100.0,150.0,6483.284926,170.0,710.0,2033.121487
12,1,2000,20627.0,29800.0,HomeImp,Office,11.0,0.0,1.0,122.53333329999998,1.0,9.0,2033.121487
13,1,2000,45000.0,55000.0,HomeImp,Other,3.0,0.0,0.0,86.06666667,2.0,25.0,2033.121487
14,0,2000,64536.0,87400.0,Other,Mgr,2.5,0.0,0.0,147.1333333,0.0,24.0,2033.121487
15,1,2100,71000.0,83850.0,HomeImp,Other,8.0,0.0,1.0,123.0,0.0,16.0,2033.121487
16,1,2200,24280.0,34687.0,HomeImp,Other,99990.0,0.0,1.0,300.8666667,0.0,8.0,2033.121487
17,1,2200,90957.0,102600.0,HomeImp,Mgr,7.0,2.0,6.0,122.9,1.0,22.0,2033.121487
18,1,2200,23030.0,8559090.0,Other,Other,19.0,100.0,150.0,6483.284926,170.0,710.0,3.7113123
19,1,2300,28192.0,40150.0,HomeImp,Other,4.5,0.0,0.0,54.6,1.0,16.0,2033.121487
20,0,2300,102370.0,120953.0,HomeImp,Office,2.0,0.0,0.0,90.99253347,0.0,13.0,31.58850318
21,1,2300,37626.0,46200.0,HomeImp,Other,3.0,0.0,1.0,122.26666670000002,1.0,14.0,2033.121487
22,1,2400,50000.0,73395.0,HomeImp,ProfExe,5.0,1.0,0.0,6483.284926,1.0,0.0,2033.121487
23,1,2400,28000.0,40800.0,HomeImp,Mgr,9999.0,0.0,0.0,67.2,2.0,22.0,2033.121487
24,1,2400,18000.0,8559090.0,HomeImp,Mgr,22.0,100.0,2.0,121.73333329999998,0.0,10.0,2033.121487
