BAD_LOAN,AMOUNT_REQUESTED,EXIST_MORTG_DEBT,EXIST_PROPERTY_VALUE,EMPLOYED_YEARS,DEROG_REPORTS,DELINQ_CR_LINES,CR_LINES_AGE(MTS),NO_OF_RECENT_CR_LINES,NO_OF_CR_LINES,DEBT_TO_INCOME,LOAN_REASON_HomeImp,LOAN_REASON_Other,JOB_Office,JOB_Other,JOB_ProfExe,JOB_Sales,JOB_Self
1.0,1100.0,25860.0,39025.0,10.5,0.0,0.0,94.36666667,1.0,9.0,36.475890713333335,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,1300.0,70053.0,68400.0,7.0,0.0,2.0,121.83333329999999,0.0,14.0,38.209978908888885,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1700.0,97800.0,112000.0,3.0,0.0,0.0,93.33333333,0.0,14.0,34.58871698,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,1700.0,30548.0,40320.0,9.0,0.0,0.0,101.46600190000001,1.0,8.0,37.11361356,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,1800.0,48649.0,57037.0,5.0,3.0,2.0,77.1,1.0,17.0,29.69235435444444,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,1800.0,28502.0,43034.0,11.0,0.0,0.0,88.76602988,0.0,8.0,36.88489409,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,2000.0,32700.0,46740.0,3.0,0.0,2.0,216.93333330000002,1.0,12.0,32.18104262,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,2000.0,74014.8,62250.0,16.0,0.0,0.0,115.8,0.0,13.0,35.00526445,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,2000.0,22608.0,102259.1,18.0,0.2,0.4,179.2,1.2,21.2,21.334865855,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,2000.0,20627.0,29800.0,11.0,0.0,1.0,122.53333329999998,1.0,9.0,32.205930522222225,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,2000.0,45000.0,55000.0,3.0,0.0,0.0,86.06666667,2.0,25.0,27.763851598888888,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,2100.0,71000.0,83850.0,8.0,0.0,1.0,123.0,0.0,16.0,34.06237010777778,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,2200.0,24280.0,34687.0,11.2,0.0,1.0,300.8666667,0.0,8.0,33.11384746555555,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,2200.0,23030.0,102259.1,19.0,0.2,0.4,179.2,1.2,21.2,3.7113123,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,2300.0,28192.0,40150.0,4.5,0.0,0.0,54.6,1.0,16.0,36.47589071333333,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,2300.0,102370.0,120953.0,2.0,0.0,0.0,90.99253347,0.0,13.0,31.58850318,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,2300.0,37626.0,46200.0,3.0,0.0,1.0,122.26666670000002,1.0,14.0,37.907309758888886,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,2400.0,50000.0,73395.0,5.0,1.0,0.0,179.2,1.0,0.0,35.16282087222223,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,2400.0,28000.0,40800.0,11.2,0.0,0.0,67.2,2.0,22.0,34.9148072,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2400.0,18000.0,102259.1,22.0,0.2,2.0,121.73333329999998,0.0,10.0,22.533992204999997,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2400.0,74014.8,17180.0,11.2,0.0,0.0,14.56666667,3.0,4.0,30.810726576666664,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,2400.0,34863.0,47471.0,12.0,0.0,0.0,70.49108003,1.0,21.0,38.26360073,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2400.0,98449.0,117195.0,4.0,0.0,0.0,93.81177486,0.0,13.0,29.68182705,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,2500.0,15000.0,20200.0,18.0,0.0,0.0,136.06666669999998,1.0,19.0,26.491942913333332,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,2500.0,25116.0,36350.0,10.0,1.0,2.0,276.96666669999996,0.0,9.0,34.68344197888889,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,2800.0,50795.0,63100.0,26.0,2.0,15.0,145.6333333,3.0,45.0,30.224474599999994,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,2800.0,4000.0,60850.0,16.0,4.0,0.0,112.63333329999999,2.0,9.0,23.814608088888892,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,2900.0,78600.0,113000.0,6.0,1.0,0.0,165.33333330000005,2.0,26.0,20.534212027777777,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,2900.0,103949.0,112505.0,1.0,0.0,0.0,96.10232967,0.0,13.0,30.05113629,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,2900.0,104373.0,120702.0,2.0,0.0,0.0,101.5402975,0.0,13.0,29.91585903,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,2900.0,7750.0,67996.0,16.0,3.0,0.0,122.20466280000001,2.0,8.0,36.211348,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,2900.0,61962.0,70915.0,2.0,0.0,0.0,282.80165919999996,3.0,37.0,49.20639579,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3000.0,104570.0,121729.0,2.0,0.0,0.0,85.8843719,0.0,14.0,32.05978327,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,3000.0,74014.8,8800.0,2.0,0.0,1.0,77.76666667,0.0,3.0,34.810373345555554,1.0,0.0,0.0,1.0,0.0,0.0,0.0
