BAD_LOAN,AMOUNT_REQUESTED,EXIST_MORTG_DEBT,EXIST_PROPERTY_VALUE,EMPLOYED_YEARS,DEROG_REPORTS,DELINQ_CR_LINES,CR_LINES_AGE(MTS),NO_OF_CR_LINES,DEBT_TO_INCOME
1,1100,25860,39025,10.5,0,0,94.36666667,9,37.18725796
1,1300,70053,68400,7,0,2,121.8333333,14,39.61139615
1,1500,13500,16700,4,0,0,149.4666667,10,26.81565642
0,1700,97800,112000,3,0,0,93.33333333,14,33.64984796
1,1700,30548,40320,9,0,0,101.4660019,8,37.11361356
1,1800,48649,57037,5,3,2,77.1,17,28.06369263
1,1800,28502,43034,11,0,0,88.76602988,8,36.88489409
1,2000,32700,46740,3,0,2,216.9333333,12,32.45379535
1,2000,74074.7,62250,16,0,0,115.8,13,31.61368184
1,2000,22608,102269,18,0.2,0.5,179.2,21.3,14.72878981
1,2000,20627,29800,11,0,1,122.5333333,9,31.73927628
1,2000,45000,55000,3,0,0,86.06666667,25,29.51424371
0,2000,64536,87400,2.5,0,0,147.1333333,24,40.31142718
1,2100,71000,83850,8,0,1,123,16,30.31474328
1,2200,24280,34687,11.2,0,1,300.8666667,8,34.54865394
1,2200,90957,102600,7,2,6,122.9,22,30.90302296
1,2200,23030,102269,19,0.2,0.5,179.2,21.3,3.7113123
0,2300,102370,120953,2,0,0,90.99253347,13,31.58850318
1,2400,50000,73395,5,1,0,179.2,0,32.02204534
1,2400,28000,40800,11.2,0,0,67.2,22,32.77674903
1,2400,18000,102269,22,0.2,2,121.7333333,10,15.06019511
1,2400,74074.7,17180,11.2,0,0,14.56666667,4,38.58647512
1,2400,34863,47471,12,0,0,70.49108003,21,38.26360073
0,2400,98449,117195,4,0,0,93.81177486,13,29.68182705
1,2500,15000,20200,18,0,0,136.0666667,19,29.7058928
0,2500,7229,44516,11.2,0,0,208,12,38.34708052
0,2500,71408,78600,8,0,0,255.7333333,12,38.31114836
1,2800,50795,63100,26,2,15,145.6333333,45,24.76163701
1,2800,4000,60850,16,4,0,112.6333333,9,22.94444367
1,2900,78600,113000,6,1,0,165.3333333,26,21.99092839
0,2900,103949,112505,1,0,0,96.10232967,13,30.05113629
0,2900,104373,120702,2,0,0,101.5402975,13,29.91585903
0,3000,104570,121729,2,0,0,85.8843719,14,32.05978327
1,3000,7000,20300,3,0,0,50.8,9,28.90014452
1,3000,74074.7,8800,2,0,1,77.76666667,3,38.58647512
1,3000,74074.7,33000,1,0,1,23.3,2,31.64954574
1,3000,119826,193500,8,0,0,130.0333585,27,39.79864078
1,3000,20000,29750,2,0,0,187.0666667,12,31.73927628
1,3000,47000,82700,10,0,1,262.1666667,26,34.33322767
1,3000,34542,45900,8.5,0,2,62.36666667,10,32.66734565
0,3000,58000,71500,10,0.2,2,211.9333333,25,30.82264665
0,3000,47000,56400,21,0,0,201.8666667,20,30.27185579
1,3100,39589,36100,1.5,0,0,153.1666667,14,40.74748897
0,3200,67848,74566,10,0.2,1,206.4266021,25,40.11567728
1,3200,27200,40834,11.2,0,0,298.131564,7,35.55353879
1,3200,54000,64850,1,0,0,121.8666667,21,29.92257897
0,3200,74864,87266,7,0,0,250.6312692,12,42.90999735
1,3200,23159,102269,20,0.2,2,117.8057478,9,0.524499215
1,3300,126541,134527,9,1,0,139,36,31.10458882
1,3300,130518,164317,9,0,6,192.289149,33,35.73055919
1,3400,37000,52000,2,0,1,183.2999156,6,34.56432057
1,3500,19400,20494,5,0,0,95.93333333,9,28.07624017
1,3600,41900,52490,3,0,0,72.03333333,4,26.23443123
0,3600,61327,76484,9,0.2,2,202.5107752,25,41.5163897
0,3600,100693,114743,6,0,0,88.47045214,14,29.39354338
1,3600,48507,61000,13,1,4,97.4,17,25.3723299
0,3600,52337,63989,20,0,0,204.2724988,20,20.47091551
1,3700,17857,21144,5,0,0,129.7173231,9,26.63434752
1,3800,19135,97692,1.6,1,6,252.6333333,25,11.43737693
0,3800,51180,63459,20,0,0,203.7515336,20,20.06704205
0,3800,74074.7,73189,11.2,0.2,0.5,179.2,21.3,22.25394916
0,3800,11543,46045,11.2,0,0,204.6479917,11,42.17316588
1,3900,29896,45960,11,0,0,146.1232422,14,24.47888119
1,3900,14500,22092,3.5,0,1,150.3,8,29.7058928
0,3900,52825,63000,8,0,4,171.6666667,31,25.81928041
0,3900,102143,118742,2,0,0,85.27736558,13,29.34392109
1,3900,21200,39000,4,0,1,86.56666667,14,33.84209351
0,4000,105164,112774,1,0,0,94.72487417,13,29.39092806
1,4000,74074.7,80609,1.5,0,2,126.5333333,12,39.66186139
1,4000,26572,31960,11,0,0,117.7951039,8,41.28649195
1,4000,29562,37200,6,0,0,92.13333333,26,32.18005803
1,4000,41700,76725,0.5,0,3,136.1333333,15,32.4170815
1,4000,58000,69440,3.5,0,1,168.6666667,18,27.48411308
1,4000,45000,58350,3.5,0,0,162,16,27.26254765
1,4000,7000,16020,18,0,1,85.8,23,27.73339636
0,4000,66000,79050,1.8,2,0,279,6,41.91895538
0,4000,74074.7,45760,0,0,0,179.2,0,20.82537077
0,4000,62000,78000,4,0,0,109.5666667,15,38.12555994
1,4000,74000,93000,2.6,1,3,186.6333333,9,32.66794818
0,4000,67625,80698,11,0.2,1,212.3493039,25,39.12871763
1,4100,74074.7,19132,0,0,0,100.7746522,19,33.8409199
1,4100,58500,65000,8,1,2,63.93333333,15,26.19469705
0,4100,57992,63797,7,0,4,165.505037,31,22.27817437
1,4200,34800,50225,2,1,0,93.5,5,37.03643602
0,4200,67700,77000,4,0,0,128.8333333,31,38.06422521
0,4200,44000,55085,6,0.2,1,75.43333333,16,26.60837262
0,4200,66272,82953,3,0,0,110.2786626,15,43.45058791
0,4200,50216,58541,19,0,0,209.8713022,19,20.20803267
0,4300,71206,78698,3,0,0,129.932869,31,34.18137652
0,4300,68815,79852,6,0,0,105.1207088,14,41.80637615
0,4300,72021,80027,2,2,0,263.9703003,5,36.43209394
0,4400,53969,63869,7,0,3,162.3900107,30,23.58107924
1,4400,53091,64074,14,1,3,89.86105825,17,39.15808483
0,4500,74074.7,77182,11.2,0.2,0.5,179.2,21.3,25.2272529
0,4500,71082,79247,4,0,0,118.7604101,14,41.42111052
1,4500,34184,46000,3.5,0,1,122.6,22,32.66734565
1,4500,66517,87000,10,0,4,125.8,34,41.28752162
0,4500,45500,50000,6,0,0,86.16666667,18,27.09571103
1,4500,118000,146870,4.5,2,0,203.8666667,20,31.95046061
1,4500,90000,105800,6,2,3,80.1,10,32.82218237
0,4700,67913,97205,2,0,0,142.8243915,24,35.22699719
1,4700,49100,58238,0.1,0,0,61.8,17,25.77857822
0,4700,88026,115506,6,0,0,182.2483316,27,29.20902258
1,4700,26900,45000,9,1,2,90.46666667,16,34.18089057
0,4800,67317,97191,3,0,0,137.3197248,23,34.27529378
0,4800,56067,63102,9,0,3,160.1463113,30,21.58376012
0,4800,80482,88342,7,0,0,275.0323948,11,43.71763511
0,4900,58688,63348,9,0,3,179.1625747,31,22.54439284
0,4900,65873,90408,2,0,0,141.858999,23,37.76961861
0,4900,67794,84630,4,0,0,112.5734189,15,41.67399636
1,4900,44000,59745,10,0,0,81.5,13,29.82686967
0,4900,170986,245300,11.2,0,0,131.9333333,22,40.82590143
1,4900,65576,65774,6,1,2,61.64250608,14,40.59091002
0,4900,74074.7,69706,11.2,0.2,0.5,179.2,21.3,33.70558774
0,5000,74074.7,34846,11.2,0.2,0.5,179.2,21.3,33.35465263
0,5000,47479,61690,5,0.2,0,65.03296901,16,36.69941492
0,5000,66839,87168,4,0,0,122.5972226,15,40.61677935
0,5000,12457,53448,11.2,0,0,207.1434813,12,44.10795169
1,5000,22320,34900,10,0,0,65.7,5,34.54865394
1,5000,100882,102700,5,0,1,58.86666667,16,37.8991681
1,5000,31000,47350,12,0.2,0.5,179.2,21.3,31.83944005
1,5000,63125,126500,3,0,0,100.3,14,33.31265474
1,5000,100000,129693.5,13,0.2,0.5,179.2,21.3,40.82193163
1,5000,74074.7,132000,17.5,0,2,121.9,14,33.85884086
1,5000,74074.7,9100,1,0,0,54.73333333,8,38.58647512
1,5000,34200,50830,6,0,0,57,9,37.61207402
1,5000,74074.7,71277,10,0,0,72.43333333,12,32.33793349
1,5000,123000,157500,9,0.2,0.5,179.2,21.3,28.37252699
1,5000,16600,25250,6,0,0,88.7,3,29.7058928
1,5000,74074.7,52000,11.2,0,1,285.3333333,6,13.11699568
1,5000,22700,34225,4,0,0,74.63333333,9,34.54865394
1,5000,6000,38575,7,0,1,335.0333333,42,23.37380801
1,5000,74074.7,74500,19,0.2,0.5,179.2,21.3,31.47579593
1,5000,74074.7,94119,19,0.2,0.5,179.2,21.3,33.11538318
0,5000,72517,86250,19,0,1,300.3666667,24,25.17167359
0,5000,26037,35000,12,0,0,182.6333333,13,31.73128428
0,5000,39000,50340,10,0.2,0.5,179.8333333,19,30.57268739
0,5000,74074.7,26550,1.7,0,0,276.9666667,14,28.21572307
0,5000,70470,77908,5,0.2,0.5,179.2,21.3,37.06277932
0,5000,74074.7,36375,3,0,0,266.8,26,33.93347299
0,5000,74225,89640,0.3,0.2,0.5,179.2,21.3,33.38390218
0,5000,74074.7,65400,1.5,0,0,51.76666667,4,38.31719524
1,5000,74074.7,37500,11.2,0,3,107.1333333,5,34.0038127
0,5000,78565,98500,24,0,0,51.76666667,14,33.29209976
0,5000,59900,80800,15,0,0,219.1333333,18,36.38536945
1,5000,10171,26809,13,3,6,228.3,24,30.96167322
1,5000,85165,107940,6,5,3,122.7666667,28,30.68288446
1,5000,71571,85100,1.4,0,1,82.13333333,13,24.92100663
1,5000,28000,36810,2,1,0,222.2,6,34.29557394
1,5000,40000,32480,8,3,2,163.3666667,16,38.95754537
0,5000,44674,59375,10,0.2,0.5,178.6925087,19,26.44819746
1,5000,61999,75021.3,5,0,0,97.1,23,37.51011459
0,5000,80153,97275,1,0,0,120.6750632,10,37.51270841
0,5000,68739,93435,3,0,0,148.7204047,23,36.66927861
0,5000,51209,55320,5,0.2,1,69.1074656,15,35.02507297
1,5000,46696,85202,2,1,2,148.3406455,14,46.489874
0,5000,66435,82819,2,0,0,125.1306256,14,42.18353867
0,5100,179725,251962,11.2,0,0,127.4988134,22,40.30825936
0,5100,85583,115341,7,0,0,177.9582551,28,26.25797013
1,5100,30755,46735,10,0,0,69,17,32.40298487
0,5100,74074.7,26715,1,0,0,258.7892976,14,26.72234334
0,5100,87258,121382,6,0,0,181.6630402,28,25.44475915
0,5100,74074.7,28291,2,0,0,277.9445608,14,23.64469128
1,5100,9900,30451,11,0,0,21.2,2,30.96167322
0,5100,93000,116875,10,0.2,0.5,417.6333333,50,33.12940232
1,5100,15500,34000,0,1,2,86.23333333,13,28.65112626
1,5100,129319,141875,7,1,0,157.8598021,36,25.65074122
0,5100,66834,87361,0,2,0,290.034108,6,38.76698507
0,5100,74071,97064,0,0,0,121.0759726,9,36.40172955
0,5100,62702,79784,2,0,0,108.0725908,15,43.29013982
0,5200,74074.7,36425,2,0,0,266.8134646,14,23.79740106
0,5200,67000,77000,9,0,1,119.7,25,39.21556814
0,5200,43039,53521,11,0.2,0.5,184.2966873,19,24.41476318
0,5200,19000,26000,0,1,0,17.2,7,29.7058928
1,5200,74074.7,9500,1,0,1,81.1,2,38.58647512
0,5200,16324,45187,11.2,0,0,221.1180817,11,42.71209384
1,5200,40564,39527,0,0,0,157.7710357,13,72.67043331
0,5300,73698,84427,4,0.2,0.5,179.2,21.3,19.13120118
0,5300,66987,65111,4,1,0,175.3287038,22,40.44257039
1,5300,26908,36078,11.2,0,0,302.3587095,8,39.1969854
0,5300,44993,50673,7,0.2,0.5,184.7427672,18,27.90612273
1,5300,51000,64000,10,1,0,98.33333333,12,20.13564802
0,5300,97132,117343,22,0,0,109.9339079,11,35.8385427
0,5300,60826,80826,10,0.2,1,212.8917461,25,38.59149403
0,5300,83552,96809,0,0.2,0.5,179.2,21.3,28.42396191
0,5300,50934,62957,21,0,0,197.2419573,20,19.35050563
0,5400,53429,64505,5,0.2,0,69.54243011,16,36.4802363
0,5400,74074.7,65474,1,0,0,40.709849,4,37.84877104
0,5400,47844,52040,8,0.2,0.5,189.0343046,18,24.70113626
1,5400,59720,63450,5,0,1,199.9,20,30.05494813
0,5400,86922,119846,5,0,0,185.0763473,28,26.3548893
0,5400,68625,82304,2,0,0,136.6329442,30,32.05002349
0,5400,65814,85848,4,0,0,122.9402886,15,44.09232568
0,5400,74074.7,75254,11.2,0.2,0.5,179.2,21.3,23.16374295
1,5400,78300,88000,8,0,0,102.5,19,34.48721142
0,5400,48152,55760,6,0.2,0,78.45212577,16,35.763638
0,5500,70481,82446,8,0,1,116.5919769,24,37.61268272
0,5500,74074.7,35402,11.2,0.2,0.5,179.2,21.3,35.27207374
0,5500,87765,101053,22,0,0,55.55804904,13,31.37554242
0,5500,52897,65054,20,0,0,189.2953185,19,20.6541289
1,5500,24700,35675,1,0,3,153.9333333,27,31.73128428
0,5500,43486,81600,4,0,0,216.1333333,30,35.84284451
1,5500,74074.7,13770,5,0,1,167.3666667,8,38.58647512
0,5500,93051,115374,6,0,0,187.0205188,27,27.64674851
