BAD_LOAN,AMOUNT_REQUESTED,EXIST_MORTG_DEBT,EXIST_PROPERTY_VALUE,EMPLOYED_YEARS,DEROG_REPORTS,DELINQ_CR_LINES,CR_LINES_AGE(MTS),NO_OF_RECENT_CR_LINES,NO_OF_CR_LINES,DEBT_TO_INCOME,LOAN_REASON_HomeImp,LOAN_REASON_Other,JOB_Office,JOB_Other,JOB_ProfExe,JOB_Sales,JOB_Self
1.0,1100.0,25860.0,39025.0,10.5,0.0,0.0,94.36666667,1.0,9.0,36.46949571,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,1300.0,70053.0,68400.0,7.0,0.0,2.0,121.83333329999999,0.0,14.0,40.05669975333334,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,1500.0,13500.0,16700.0,4.0,0.0,0.0,149.4666667,1.0,10.0,27.405722865,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1700.0,97800.0,112000.0,3.0,0.0,0.0,93.33333333,0.0,14.0,34.57573948666666,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,1700.0,30548.0,40320.0,9.0,0.0,0.0,101.46600190000001,1.0,8.0,37.11361356,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,1800.0,48649.0,57037.0,5.0,3.0,2.0,77.1,1.0,17.0,26.86027812,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,1800.0,28502.0,43034.0,11.0,0.0,0.0,88.76602988,0.0,8.0,36.88489409,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,2000.0,32700.0,46740.0,3.0,0.0,2.0,216.93333330000002,1.0,12.0,33.823036075,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,2000.0,74074.7,62250.0,16.0,0.0,0.0,115.8,0.0,13.0,34.63171566166667,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,2000.0,22608.0,102269.0,18.0,0.2,0.5,179.2,1.2,21.3,19.998688570833334,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,2000.0,20627.0,29800.0,11.0,0.0,1.0,122.53333329999998,1.0,9.0,31.684840264999995,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,2000.0,45000.0,55000.0,3.0,0.0,0.0,86.06666667,2.0,25.0,28.107554325,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,2000.0,64536.0,87400.0,2.5,0.0,0.0,147.1333333,0.0,24.0,41.061715496666665,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,2100.0,71000.0,83850.0,8.0,0.0,1.0,123.0,0.0,16.0,31.62351509,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,2200.0,24280.0,34687.0,11.2,0.0,1.0,300.8666667,0.0,8.0,32.994221555,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,2200.0,90957.0,102600.0,7.0,2.0,6.0,122.9,1.0,22.0,31.886739621666663,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2200.0,23030.0,102269.0,19.0,0.2,0.5,179.2,1.2,21.3,3.7113123,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,2300.0,102370.0,120953.0,2.0,0.0,0.0,90.99253347,0.0,13.0,31.58850318,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,2400.0,50000.0,73395.0,5.0,1.0,0.0,179.2,1.0,0.0,34.17400145166667,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,2400.0,28000.0,40800.0,11.2,0.0,0.0,67.2,2.0,22.0,35.527311965,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2400.0,18000.0,102269.0,22.0,0.2,2.0,121.73333329999998,0.0,10.0,19.292993695833335,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2400.0,74074.7,17180.0,11.2,0.0,0.0,14.56666667,3.0,4.0,34.118822518333324,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,2400.0,34863.0,47471.0,12.0,0.0,0.0,70.49108003,1.0,21.0,38.26360073,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2400.0,98449.0,117195.0,4.0,0.0,0.0,93.81177486,0.0,13.0,29.68182705,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,2500.0,15000.0,20200.0,18.0,0.0,0.0,136.06666669999998,1.0,19.0,27.405722864999998,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,2500.0,7229.0,44516.0,11.2,0.0,0.0,208.0,0.0,12.0,36.388894791666665,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,2500.0,71408.0,78600.0,8.0,0.0,0.0,255.7333333,0.0,12.0,39.41557834333333,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,2800.0,50795.0,63100.0,26.0,2.0,15.0,145.6333333,3.0,45.0,23.88029269333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,2800.0,4000.0,60850.0,16.0,4.0,0.0,112.63333329999999,2.0,9.0,20.855700533333334,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,2900.0,78600.0,113000.0,6.0,1.0,0.0,165.33333330000005,2.0,26.0,20.952982238333334,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,2900.0,103949.0,112505.0,1.0,0.0,0.0,96.10232967,0.0,13.0,30.05113629,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,2900.0,104373.0,120702.0,2.0,0.0,0.0,101.5402975,0.0,13.0,29.91585903,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,3000.0,104570.0,121729.0,2.0,0.0,0.0,85.8843719,0.0,14.0,32.05978327,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,3000.0,7000.0,20300.0,3.0,0.0,0.0,50.8,5.0,9.0,30.80448338166667,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,3000.0,74074.7,8800.0,2.0,0.0,1.0,77.76666667,0.0,3.0,37.26177986333334,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,3000.0,74074.7,33000.0,1.0,0.0,1.0,23.3,1.0,2.0,32.33806651333333,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,3000.0,119826.0,193500.0,8.0,0.0,0.0,130.0333585,0.0,27.0,38.87050203166667,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,3000.0,20000.0,29750.0,2.0,0.0,0.0,187.06666669999998,0.0,12.0,31.684840264999995,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,3000.0,47000.0,82700.0,10.0,0.0,1.0,262.1666667,5.0,26.0,34.09211743,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,3000.0,34542.0,45900.0,8.5,0.0,2.0,62.36666667,0.0,10.0,31.751261666666664,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3000.0,58000.0,71500.0,10.0,0.2,2.0,211.93333330000002,0.0,25.0,32.24808882,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3000.0,47000.0,56400.0,21.0,0.0,0.0,201.8666667,0.0,20.0,27.09224712,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,3100.0,39589.0,36100.0,1.5,0.0,0.0,153.16666669999995,1.0,14.0,38.563380855,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,3200.0,67848.0,74566.0,10.0,0.2,1.0,206.4266021,0.0,25.0,40.11567728,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3200.0,27200.0,40834.0,11.2,0.0,0.0,298.131564,0.0,7.0,35.55353879,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,3200.0,54000.0,64850.0,1.0,0.0,0.0,121.86666670000001,3.0,21.0,26.452330885,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,3200.0,74864.0,87266.0,7.0,0.0,0.0,250.6312692,0.0,12.0,42.90999735,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,3200.0,23159.0,102269.0,20.0,0.2,2.0,117.80574779999999,0.0,9.0,0.524499215,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3300.0,126541.0,134527.0,9.0,1.0,0.0,139.0,0.0,36.0,33.89171965166667,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,3300.0,130518.0,164317.0,9.0,0.0,6.0,192.289149,0.0,33.0,35.73055919,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,3400.0,37000.0,52000.0,2.0,0.0,1.0,183.2999156,0.0,6.0,34.473095179999994,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,3500.0,19400.0,20494.0,5.0,0.0,0.0,95.93333333,0.0,9.0,27.765647371666663,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,3600.0,41900.0,52490.0,3.0,0.0,0.0,72.03333333,2.0,4.0,27.60575934166667,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3600.0,61327.0,76484.0,9.0,0.2,2.0,202.51077519999998,0.0,25.0,41.51638970000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3600.0,100693.0,114743.0,6.0,0.0,0.0,88.47045214,0.0,14.0,29.39354338,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,3600.0,48507.0,61000.0,13.0,1.0,4.0,97.4,0.0,17.0,24.68289280666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,3600.0,52337.0,63989.0,20.0,0.0,0.0,204.27249880000002,0.0,20.0,20.47091551,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,3700.0,17857.0,21144.0,5.0,0.0,0.0,129.7173231,1.0,9.0,26.63434752,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,3800.0,19135.0,97692.0,1.6,1.0,6.0,252.6333333,1.0,25.0,15.509551262499999,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3800.0,51180.0,63459.0,20.0,0.0,0.0,203.7515336,0.0,20.0,20.06704205,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,3800.0,74074.7,73189.0,11.2,0.2,0.5,179.2,1.2,21.3,22.25394916,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,3800.0,11543.0,46045.0,11.2,0.0,0.0,204.64799169999998,0.0,11.0,42.17316588,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,3900.0,29896.0,45960.0,11.0,0.0,0.0,146.1232422,0.0,14.0,24.47888119,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,3900.0,14500.0,22092.0,3.5,0.0,1.0,150.3,5.0,8.0,27.405722864999998,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,3900.0,52825.0,63000.0,8.0,0.0,4.0,171.66666669999995,1.0,31.0,26.51797726,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,3900.0,102143.0,118742.0,2.0,0.0,0.0,85.27736558,0.0,13.0,29.34392109,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,3900.0,21200.0,39000.0,4.0,0.0,1.0,86.56666667,2.0,14.0,32.26627271499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
